R2-PINH,156.97,6.86,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,89.79,61.47,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,151.51,46.10,0.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,156.59,44.70,0.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,124.59,47.12,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,72.26,20.83,270.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,73.53,20.83,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,45.97,39.37,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,47.75,39.37,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,49.53,39.24,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,36.96,46.36,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,71.37,13.84,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,24.00,108.00,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,52.07,107.82,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,89.03,47.75,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.04,107.32,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,76.84,26.42,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,27.43,107.95,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,154.70,11.18,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,68.45,12.70,0.00,,SJ
TP1,11.43,64.77,0.00,TPTP20R,TP20R
TP10,111.63,2.41,0.00,TPTP20R,TP20R
TP11,49.40,2.54,0.00,TPTP20R,TP20R
TP12,109.47,2.29,0.00,TPTP20R,TP20R
TP13,102.23,2.41,0.00,TPTP20R,TP20R
TP14,147.45,64.39,0.00,TPTP20R,TP20R
TP15,87.00,99.57,0.00,TPTP20R,TP20R
TP16,9.14,41.02,0.00,TPTP20R,TP20R
TP17,106.43,2.29,0.00,TPTP20R,TP20R
TP2,13.72,64.77,0.00,TPTP20R,TP20R
TP3,144.02,64.39,180.00,TPTP20R,TP20R
